id,department,city,LON,LAT,created_at,updated_at
91,ANTIOQUIA,SAN JOSE DE LA MONTAÑA,-75.67855643,6.823558203,2/14/12 7:45,2/14/12 7:45
160,BOLIVAR,SANTA ROSA DEL SUR,-74.0506379,7.9635222,2/14/12 7:45,2/14/12 7:45
211,BOYACA,PISBA,-72.44592023,5.744764725,2/14/12 7:45,2/14/12 7:45
222,BOYACA,SANTA ROSA DE VITERBO,-72.9825064,5.874678,2/14/12 7:45,2/14/12 7:45
261,CAQUETA,BELEN DE LOS ANDAQUIES,-75.840286,1.439439,2/14/12 7:45,2/14/12 7:45
262,CAQUETA,CARTAGENA DEL CHAIRA,-74.25711008,1.565095571,2/14/12 7:45,2/14/12 7:45
269,CAQUETA,SAN JOSE DEL FRAGUA,-75.9727503,1.3314207,2/14/12 7:45,2/14/12 7:45
270,CAQUETA,SAN VICENTE DEL CAGUAN,-75.07317668,2.017471516,2/14/12 7:45,2/14/12 7:45
295,CAUCA,PATIA,-77.05793154,2.148423072,2/14/12 7:45,2/14/12 7:45
301,CAUCA,SANTANDER DE QUILICHAO,-76.50161419,2.984907169,2/14/12 7:45,2/14/12 7:45
353,CORDOBA,SAN ANDRES DE SOTAVENTO,-75.65081223,9.107260914,2/14/12 7:45,2/14/12 7:45
355,CORDOBA,SAN BERNARDO DEL VIENTO,-75.58136804,6.85130574,2/14/12 7:45,2/14/12 7:45
422,CUNDINAMARCA,SAN ANTONIO DE TEQUEN,-74.35736,4.61082,2/14/12 7:45,2/14/12 7:45
467,CHOCO,ISTMINA,-76.8689302,4.737740189,2/14/12 7:45,2/14/12 7:45
523,GUAJIRA,SAN JUAN DEL CESAR,-72.996567,10.7847,2/14/12 7:45,2/14/12 7:45
530,MAGDALENA,CERRO SAN ANTONIO,-75.4264445,3.952711,2/14/12 7:45,2/14/12 7:45
572,META,SAN CARLOS DE GUAROA,-73.248047,3.717717,2/14/12 7:45,2/14/12 7:45
615,NORTE DE SANTANDER,CUCUTA,-72.5080387,7.8971458,2/14/12 7:45,2/14/12 7:45
616,NORTE DE SANTANDER,ABREGO,-73.15849726,8.020442363,2/14/12 7:45,2/14/12 7:45
617,NORTE DE SANTANDER,ARBOLEDAS,-72.86131972,7.613776516,2/14/12 7:45,2/14/12 7:45
618,NORTE DE SANTANDER,BOCHALEMA,-72.65999476,7.631486137,2/14/12 7:45,2/14/12 7:45
619,NORTE DE SANTANDER,BUCARASICA,-72.8669475,8.0394871,2/14/12 7:45,2/14/12 7:45
620,NORTE DE SANTANDER,CACOTA,-72.6521083,7.270638665,2/14/12 7:45,2/14/12 7:45
621,NORTE DE SANTANDER,CACHIRA,-73.0485225,7.7419001,2/14/12 7:45,2/14/12 7:45
622,NORTE DE SANTANDER,CHINACOTA,-72.58376343,7.58309979,2/14/12 7:45,2/14/12 7:45
623,NORTE DE SANTANDER,CHITAGA,-72.52520734,7.051488443,2/14/12 7:45,2/14/12 7:45
624,NORTE DE SANTANDER,CONVENCION,-73.3354951,8.4688986,2/14/12 7:45,2/14/12 7:45
625,NORTE DE SANTANDER,CUCUTILLA,-72.79774368,7.501564796,2/14/12 7:45,2/14/12 7:45
626,NORTE DE SANTANDER,DURANIA,-72.67178754,7.74693193,2/14/12 7:45,2/14/12 7:45
627,NORTE DE SANTANDER,EL CARMEN,-73.56430475,6.66497216,2/14/12 7:45,2/14/12 7:45
628,NORTE DE SANTANDER,EL TARRA,-73.0318664,8.677537564,2/14/12 7:45,2/14/12 7:45
629,NORTE DE SANTANDER,EL ZULIA,-72.63108578,8.084452943,2/14/12 7:45,2/14/12 7:45
630,NORTE DE SANTANDER,GRAMALOTE,-72.7977938,7.8882118,2/14/12 7:45,2/14/12 7:45
631,NORTE DE SANTANDER,HACARI,-73.078259,8.362094078,2/14/12 7:45,2/14/12 7:45
632,NORTE DE SANTANDER,HERRAN,-72.482838,7.5061855,2/14/12 7:45,2/14/12 7:45
633,NORTE DE SANTANDER,LABATECA,-72.52231365,7.265485245,2/14/12 7:45,2/14/12 7:45
634,NORTE DE SANTANDER,LA PLAYA DE BELEN,-72.5003387,7.8826153,2/14/12 7:45,2/14/12 7:45
635,NORTE DE SANTANDER,LOS PATIOS,-72.52715245,7.742520115,2/14/12 7:45,2/14/12 7:45
636,NORTE DE SANTANDER,MUTISCUA,-72.76835627,7.317085511,2/14/12 7:45,2/14/12 7:45
637,NORTE DE SANTANDER,OCAÑA,-73.3532751,8.2372524,2/14/12 7:45,2/14/12 7:45
638,NORTE DE SANTANDER,PAMPLONA,-72.67566966,7.379229723,2/14/12 7:45,2/14/12 7:45
639,NORTE DE SANTANDER,PAMPLONITA,-72.63519985,7.4830127,2/14/12 7:45,2/14/12 7:45
640,NORTE DE SANTANDER,PUERTO SANTANDER,-71.93885387,-1.101169194,2/14/12 7:45,2/14/12 7:45
641,NORTE DE SANTANDER,RAGONVALIA,-72.4760325,7.5779537,2/14/12 7:45,2/14/12 7:45
642,NORTE DE SANTANDER,SALAZAR DE LAS PALMAS,-72.86787497,7.773217312,2/14/12 7:45,2/14/12 7:45
643,NORTE DE SANTANDER,SAN CALIXTO,-73.2086911,8.4013277,2/14/12 7:45,2/14/12 7:45
644,NORTE DE SANTANDER,SAN CAYETANO,-72.60982876,7.846258663,2/14/12 7:45,2/14/12 7:45
645,NORTE DE SANTANDER,SARDINATA,-72.80606573,8.265868725,2/14/12 7:45,2/14/12 7:45
646,NORTE DE SANTANDER,SILOS,-72.78649095,7.180599354,2/14/12 7:45,2/14/12 7:45
647,NORTE DE SANTANDER,TEORAMA,-73.2869149,8.4344298,2/14/12 7:45,2/14/12 7:45
648,NORTE DE SANTANDER,TIBU,-72.7134632,8.6383884,2/14/12 7:45,2/14/12 7:45
649,NORTE DE SANTANDER,TOLEDO,-75.7131601,7.016491479,2/14/12 7:45,2/14/12 7:45
650,NORTE DE SANTANDER,VILLA CARO,-72.972949,7.9144121,2/14/12 7:45,2/14/12 7:45
651,NORTE DE SANTANDER,VILLA DEL ROSARIO,-74.7701062,9.1534615,2/14/12 7:45,2/14/12 7:45
754,SUCRE,SAN JUAN DE BETULIA,-75.2431182,9.273499,2/14/12 7:45,2/14/12 7:45
878,SAN ANDRES Y PROVIDENCIA,SAN ANDRES,-75.66537854,6.918143816,2/14/12 7:46,2/14/12 7:46
882,GUAVIARE,SAN JOSE DEL GUAVIARE,-72.6427891,2.5716149,2/14/12 7:46,2/14/12 7:46
904,NORTE DE SANTANDER,LOURDES,-72.8329198,7.9449398,2/14/12 7:46,2/14/12 7:46
956,NARIÑO,MALLAMA,-77.86406,1.14026,2/14/12 7:46,2/14/12 7:46
959,NORTE DE SANTANDER,SANTIAGO,-72.71506378,7.894940246,2/14/12 7:46,2/14/12 7:46
963,SANTANDER,VALLE DE SAN JOSE,-73.10983729,6.434686964,2/14/12 7:46,2/14/12 7:46
974,CHOCO,BAJO BAUDO,-77.365608,4.97168,2/14/12 7:46,2/14/12 7:46
984,ATLANTICO,PALMAR DE VARELA,-74.76653023,10.69172558,2/14/12 7:46,2/14/12 7:46
989,BOYACA,TUTAZA,-72.8666667,6.05,2/14/12 7:46,2/14/12 7:46
994,SAN ANDRES Y PROVIDENCIA,PROVIDENCIA,-81.3743389,13.3520043,2/14/12 7:46,2/14/12 7:46
